"ShortName","Name","SI version","Target","Status","Runtime","Score","Severity","Weight","Category","MITRE ATT&CK_1","MITRE ATT&CK_2","MITRE ATT&CK_3","MITRE ATT&CK_4","ANSSI_1","ANSSI_2","ANSSI_3","MITRE D3FEND_1","MITRE D3FEND_2","Description","Likelihood of compromise","Result message","Number of results","Result","Remediation"
"SI000012","Built-in guest account is enabled","1.124.1","AD","Pass","00:00:15:52","100","Informational","2","AD Delegation","Discovery","Reconnaissance","","","vuln2_guest","","","Evict - Account Locking","","This indicator checks if the built-in Active Directory 'guest' account is enabled. The guest account allows for accounts with no password access to the domain and is disabled in most AD environments.","Attackers can take advantage of a guest account to enumerate open shares that are accessible to the 'Everyone' setting, as is often the case. Additionally, attackers may utilize the limited access these accounts provide to conduct additional scanning for vulnerable users, shares and other network resources.","No evidence of exposure.","0","","None"
"SI000089","Users with permissions to set Server Trust Account","1.124.1","AD","Pass","00:00:15:55","100","Critical","8","AD Delegation","Privilege Escalation","","","","","","","","","Checks for permissions on the domain NC head that enables a user to set a UAC flag - Server_Trust_Account on computer objects. This flag gives that computer object special permissions similar to a domain controller.","A persistence technique originally reported by Stealthbits researchers, an attacker that is able to seed authenticated user(s) with these permissions can then utilize their access to these users to 'promote' any computer they control to Domain Controller status, enabling privilege escalation to AD services and carrying out credential access attacks such as DCSync. More information available here.","No evidence of exposure.","0","","None"
"SI000018","Non default value on ms-Mcs-AdmPwd SearchFlags","1.124.1","AD","Pass","00:00:15:62","100","Warning","7","AD Delegation","Credential Access","","","","","","","","","Some flags on the ms-Mcs-AdmPwd schema may inadvertently cause passwords to be visible to users allowing an attacker to use it as stealthy backdoor. This indicator looks for any changes to default searchFlags, which may create an exposure. Detection of changes to the default will result in a score of 80 for this indicator, signifying that a review should be conducted. Any removal of the default flags will result in a score of 0 due to their importance to security.","Even though schema changes are not common, a targeted schema change like this can leave the administrator passwords of 100s or 1000s of computers vulnerable to non-privileged users.","No evidence of exposure.","0","","None"
"SI000046","Objects in privileged groups without adminCount=1 (SDProp)","1.124.1","AD","Pass","00:00:19:37","100","Informational","4","AD Delegation","Defense Evasion","Persistence","","","","","","","","This indicator looks for objects in privileged groups with AdminCount not equal to 1. AdminCount is an object flag that is set by the SDProp process (run by default every 60 minutes) if that object's DACLs are modified to sync with the AdminSDHolder object through inheritance. If an object within these groups has an AdminCount not equal to 1 then it could signify that the DACLs were manually set (no inheritance) or that there is an issue with SDProp. For more information see: https://docs.microsoft.com/en-us/previous-versions/technet-magazine/ee361593(v=msdn.10)","While not immediately indicative of an attack, privileged users that are not clearly marked as such (adminCount =1) represent an exposure in that they may be used nefariously without being detected. Additionally, an attacker may add a privileged account and attempt to hide it using this method.","No evidence of exposure.","0","","None"
"SI000035","Changes to MS LAPS read permissions","1.124.1","AD","Pass","00:00:16:96","100","Informational","3","AD Delegation","Credential Access","Lateral Movement","","","","","","Harden - User Account Permissions","","This indicator looks for permissions on computer accounts that could allow inadvertent exposure of local administrator accounts in environments that use the Microsoft LAPS solution (https://www.microsoft.com/en-us/download/details.aspx?id=46899). These permissions include Read access to ms-Mcs-AdmPwd as well as Write DACL and Owner (which would allow provisioning the read access). LAPS provides a method to rotate local administrator account passwords on servers and workstations.","Only authorized administrative users should have access to LAPS passwords. Attackers may use this capability to laterally move through a domain using local compromised administrator accounts.","No evidence of exposure.","0","","None"
"SI000021","Non-default principals with DC Sync rights on the domain","1.124.1","AD","IOE Found","00:00:23:08","0","Critical","8","AD Delegation","Credential Access","","","","vuln1_permissions_naming_context","","","","","Any security principals with Replicate Changes All and Replicate Directory Changes permissions on the domain naming context object can potentially retrieve password hashes for any and all users in an AD domain ('DCSync' attack). Additionally, Write DACL / Owner also allows assignment of these privileges. This can then lead to all kinds of credential-theft based attacks, including Golden and Silver Ticket attacks.","DCSync is an attack for accessing credentials through this method. If an attacker gets ahold of these privileges, it is straight-forward to retrieve credential material using tools like Mimikatz, for any user in a domain.","Found 4 objects with replication permissions.","4","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000021)","Ensure that there are no unnecessary replication permissions and investigate suspicious permissions. Under certain situations (e.g. Microsoft PAM Tiering), an empty group may appear in the results - this is normal but keep in mind that this is a highly privileged group."
"SI000025","Privileged objects with unprivileged owners","1.124.1","AD","Pass","00:00:28:33","100","Warning","6","AD Delegation","Privilege Escalation","","","","vuln1_permissions_adminsdholder","","","","","If a privileged object (as determined by adminCount=1) is owned by an account that is unprivileged, then any compromise of that unprivileged account could result in those privileged objects' delegation being modified, since owners can override any delegation on an object, if only temporarily.","Most privileged objects are owned by privileged groups or users. But if a privileged object were to be owned by an unprivileged account, it could be easily taken over. And even though SDProp might correct any delegation done by an attacker who has compromised an owner, the attacker could have up to 1 hour to perform any changes on the privileged object (e.g. group membership changes or password changes) before SDProp corrects it.","No evidence of exposure.","0","","None"
"SI000011","Unprivileged users can add computer accounts to the domain","1.124.1","AD","IOE Found","00:00:28:37","96","Informational","3","AD Delegation","Credential Access","Lateral Movement","","","","","","","","This indicator checks for an AD configuration that allows unprivileged domain members to add computer accounts to the domain. By default, members of the Authenticated Users group can add up to 10 machine accounts to a domain. If the ms-DS-MachineAccountQuota attribute on the domain naming context head is not set to 0, regular users have this ability.The ability to do this confers certain rights on those created machine accounts that can be abused by a variety of Kerberos-based attacks. Note: This configuration may be enabled but be already mitigated by GPO settings (User Right: 'Add workstations to domain' configured with only high-privileged group(s)/account(s)) linked to Domain Controllers OU that are not checked by this indicator.","The ability to add computer accounts to a domain without restrictions or monitoring present opportunities for attackers to add their own accounts or take advantage of uncontrolled computers with vulnerabilities, thereby extending their reach and entrenching themselves in the environment.","Found 1 domains in which regular users can add computer accounts.","1","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000011)","Set the ms-DS-MachineAccountQuota attribute on the domain NC head to 0 to disable regular users' ability to add computer accounts."
"SI000098","Abnormal Password Refresh","1.124.1","AD","Pass","00:00:03:09","100","Warning","5","Account Security","Credential Access","Persistence","","","","","","","","This indicator looks for user accounts with a recent pwdLastSet change without a corresponding password replication.","If an administrator marks the option 'User must change password at next logon' and then clears (i.e. unchecks) the option later, the pwdLastSet is updated without the password actually being changed. This could be an administrative error or an attempt to bypass the organization's password policy.","No evidence of exposure.","0","","None"
"SI000049","Built-in domain Administrator account with old password (180 days)","1.124.1","AD","Pass","00:00:03:89","100","Informational","4","Account Security","Credential Access","","","","vuln1_password_change_priv","","","Harden - Strong Password Policy","","This indicator checks if the password of the built-in Domain Administrator account is older than 180 days.","The built-in Domain Administrator account is a well-known SID that is easily discoverable, regardless of attempts to obfuscate the account, such as renaming it.
It is recommended that this account is not used for administration of Active Directory, but due to lack of use, this account in many organizations also goes unmonitored. Attackers may target this account for brute force password attacks.ReferencesSecurity identifiers | Microsoft Learn","No evidence of exposure.","0","","None"
"SI000028","Built-in domain Administrator account used within the last two weeks","1.124.1","AD","IOE Found","00:00:04:79","91","Warning","5","Account Security","Credential Access","","","","","","","Detect - Credential Compromise Scope Analysis","Harden - Strong Password Policy","The Domain Administrator account should only be used for initial build activities and, when necessary, disaster recovery. This indicator checks to see if the lastLogonTimestamp for the built-in Domain Administrator account has been updated within the last two weeks. If so, it could indicate that the user has been compromised.","If best practices are followed and domain Admin is not used, this would indicate a compromise. Ensure any logins to the built-in Domain Administrator account are legitimate and accounted for. If not accounted for, a breach is likely and should be investigated.","Found 1 domains in which the built-in administrator was used recently.","1","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000028)","Ensure that the built-in domain Administrator account is not used regularly and has a complex password known only to highly privileged admins."
"SI000061","Computer Accounts in Privileged Groups","1.124.1","AD","Pass","00:00:07:55","100","Warning","6","Account Security","Privilege Escalation","","","","","","","","","This indicator looks for computer accounts that are members of built-in privileged groups.","If a computer account is a member of a domain privileged group, then anyone that compromises that computer account (i.e. becomes administrator) can act as a member of that group. Generally speaking, there is little reason for normal computer accounts to be part of privileged groups.","No evidence of exposure.","0","","None"
"SI000039","Privileged users that are disabled","1.124.1","AD","Pass","00:00:04:78","100","Informational","3","Account Security","Privilege Escalation","","","","","","","Harden - User Account Permissions","","This indicator looks for privileged user accounts, as indicated by their adminCount attribute set to 1, that are disabled. If a privileged account is disabled, it should be removed from its privileged group(s) to prevent inadvertent misuse.","When a user is disabled, it tends to not be monitored as closely as active accounts. If this user is also a privileged user, then it becomes a target for takeover if an attacker can enable the account.","No evidence of exposure.","0","","None"
"SI000038","Enabled admin accounts that are inactive","1.124.1","AD","Pass","00:00:11:72","100","Warning","4","Account Security","Credential Access","Privilege Escalation","","","vuln1_user_accounts_dormant","","","Evict - Account Locking","","This indicator looks for admin accounts that are enabled, but have not logged in for the past 90 days. Attackers who can compromise these accounts may be able to operate unnoticed.","While the presence of an unused admin account is not automatically a problem, removing these accounts reduces the attack surface of AD.","No evidence of exposure.","0","","None"
"SI000110","Ephemeral Admins","1.124.1","AD","Pass","00:00:12:13","100","Informational","3","Account Security","Persistence","","","","","","","Harden - User Account Permissions","","This indicator looks for users which were added and removed from an admin group within a 48 hour span of time. Such short-lived accounts may indicate malicious activity.","In most environments, management of admin accounts is tightly controlled and audited. This indicator provides a fast method to create a list of ephemeral admins for investigation and review.","No evidence of exposure.","0","","None"
"SI000103","FGPP not applied to Group","1.124.1","AD","Pass","00:00:12:04","100","Warning","5","Account Security","Persistence","Credential Access","","","","","","Harden - Strong Password Policy","","This indicator looks for FGPP targeted to a Universal or Domain Local group.","Changing a group's scope settings from Global group to Universal or Domain Local group, will result in FGPP settings no longer applying to that group, and decreasing its password security controls.","No evidence of exposure.","0","","None"
"SI000064","Forest contains more than 50 privileged accounts","1.124.1","AD","Pass","00:00:15:57","100","Warning","5","Account Security","Privilege Escalation","Reconnaissance","","","vuln1_privileged_members","","","","","This indicator counts the number of privileged user accounts defined in the forest, where 50 is deemed the upper limit for these types of accounts. A privileged account is defined as any user with the AdminCount attribute set to 1.","In general, the more privileged accounts you have, the more opportunities there are for attackers to compromise one of those accounts. 50 is an arbitrary number, but the number should reflect the absolute maximum allowed. If business needs dictate many privileged accounts, consider implementing a tiered administration model to further isolate those privileged accounts and their potential impact from compromise.","No evidence of exposure.","0","","None"
"SI000044","AD objects created within the last 10 days","1.124.1","AD","IOE Found","00:00:15:99","100","Informational","1","Account Security","Lateral Movement","Persistence","","","","","","Detect - Domain Account Monitoring","","This indicator looks for any AD objects that were created within the last 10 days. It is meant to be used for threat hunting, post-breach investigation or compliance validation.","In some environments, object creation happens consistently; however, recently added accounts should be reviewed to ensure they are legitimate.","Found 6 objects that were created in the last 10 days.","6","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000044)","Ensure that the new objects are known and legitimate.<br><br>MITRE D3fend based on the reference: <a href='https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/audit-user-account-management' target='_blank'>audit-user-account-management of Microsoft</a>"
"SI000033","Recent privileged account creation activity","1.124.1","AD","Pass","00:00:16:30","100","Informational","3","Account Security","Persistence","","","","","","","Detect - Domain Account Monitoring","","This indicator looks for any users or groups that were created within the last month. Privileged accounts and groups are defined by having their adminCount attribute set to 1.","In most environments, creation of privileged accounts and groups is tightly controlled and audited. This indicator provides a fast method to create a list of new privileged accounts (where adminCount = 1) for investigation and review.","No evidence of exposure.","0","","None"
"SI000034","Unprivileged accounts with adminCount=1","1.124.1","AD","Pass","00:00:17:18","100","Informational","3","Account Security","Privilege Escalation","","","","","","","","","This indicator looks for any users or groups that may have been under the control of SDProp (adminCount=1) but are no longer members of privileged groups and should not be considered privileged.","The most common scenario for this behavior is if a user is moved from a privileged group to a non-privileged one and their adminCount variable is not reset. While this is benign, it may cause issues for security controls that monitor privileged users and reduces the overall hygiene of the environment. In rare cases, this might also be evidence of an attacker that attempted to cover their tracks and remove a user they used for compromise.","No evidence of exposure.","0","","None"
"SI000014","Users and computers with non-default Primary Group IDs","1.124.1","AD","Pass","00:00:16:58","100","Informational","3","Account Security","Privilege Escalation","","","","vuln1_primary_group_id_1000","vuln3_primary_group_id_nochange","","","","This indicator returns a list of users and computers whose Primary Group IDs (PGIDs) are not the defaults for domain users and computers. Users created in the domain will have a default PGID of 513 (Domain Users) or 514 (Domain Guests) while computers are 515 (Domain Computers), 516 (Domain Controllers), or 521 (RODC). The Primary Group ID is not automatically changed when a user is moved to a different group (i.e. a user moved into Domain Admins will not be assigned PGID 512). This fact can be used to hide users with privileges to systems that rely on PGID, while hiding the user from queries that rely on enumerating the member attribute without the PGID. Additionally, group objects' member attribute will not list the user objects with PGID of those groups.","Modifying the Primary Group ID is a stealthy way for an attacker to escalate privileges without triggering member attribute auditing for group membership changes.","No evidence of exposure.","0","","None"
"SI000078","Users and computers without readable PGID","1.124.1","AD","Pass","00:00:16:76","100","Warning","5","Account Security","Defense Evasion","","","","","","","","","This indicator finds users and computers for whom it can't read the PGID. This may be due to the default permission of Read access having been removed, which could indicate an attempt to hide the user (in combination with removal of the memberOf attribute).","Can be used for hiding users in certain groups (non SDProp protected).","No evidence of exposure.","0","","None"
"SI000037","Users with old passwords","1.124.1","AD","Pass","00:00:17:23","100","Informational","2","Account Security","Credential Access","Persistence","","","","","","Harden - Strong Password Policy","","This indicator looks for user accounts whose password has not changed in over 180 days. This could make these account ripe for password guessing attacks.","Stale passwords that aren't changed over a long period of time and are not supported by multi-factor authentication are ripe targets for attackers. These present opportunities for attackers to move laterally through the environment or elevate privileges.","No evidence of exposure.","0","","None"
"SI000062","Admins with old passwords","1.124.1","AD","Pass","00:00:17:53","100","Informational","2","Account Security","Discovery","","","","vuln1_password_change_priv","","","Harden - Strong Password Policy","","This indicator looks for admin accounts whose password has not changed in over 180 days. This could make these accounts ripe for password guessing attacks.","An administrator account whose password hasn't changed in a while could be a target for attackers looking for privileged accounts that can provide elevated access to the environment.","No evidence of exposure.","0","","None"
"SI000150","Operators Groups that are not empty","1.124.1","AD","IOE Found","00:00:18:07","4","Warning","6","Account Security","Privilege Escalation","Credential Access","","","","","","Harden - User Account Permissions","","This indicator checks if the Account Operators, Server Operators, Backup Operators and Print Operators groups in Active Directory are populated.","The operator groups in Active Directory, Account Operators, Server Operators, Backup Operators, and Print Operators, all provide users within these groups certain privileges over different critical domain resources in Active Directory and different levels of access to domain controllers.
An attacker may target users in these groups for further privilege escalation and lateral movement in Active Directory.ReferencesActive Directory security groups | Microsoft Learn","Found 8 Members in Operator Groups","8","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000150)","It is recommended to have these groups empty. Assign administrators into administrators group. Other accounts should have proper delegation rights in an OU or in the scope they are managing."
"SI000104","Changes to Pre-Windows 2000 Compatible Access Group membership","1.124.1","AD","IOE Found","00:00:20:10","83","Warning","5","Account Security","Privilege Escalation","","","","","","","","","This indicator looks for changes to the built-in group 'Pre-Windows 2000 Compatible Access'. This group grants read-only access to Active Directory. For more information see the following Semperis blog entry.","As part of a layered approach to security and to ensure that non-authenticated users cannot read Active Directory, it's best to ensure this group does not contain the 'Anonymous Logon' or 'Everyone' groups.","Found 2 objects in the Pre-Windows 2000 Compatible Access group.","2","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000104)","Confirm that any addition or removals from Pre-Windows 2000 Compatible Access group are valid and properly accounted for."
"SI000043","Changes to privileged group membership in the last 7 days","1.124.1","AD","Pass","00:00:20:02","100","Warning","5","Account Security","Privilege Escalation","Persistence","","","","","","","","This indicator looks for changes to the built-in privileged groups within the last 7 days, which could indicate attempts to escalate privilege.","Recent additions or deletions to privileged group members could be normal operational changes or could indicate attempts at persistence or cleaning up of tracks after an attack (e.g. detection of temporary group membership changes).","No evidence of exposure.","0","","None"
"SI000096","Privileged Users with Weak Password Policy","1.124.1","AD","IOE Found","00:00:26:66","0","Critical","8","Account Security","Discovery","","","","vuln2_privileged_members_password","","","Harden - Strong Password Policy","","This indicator looks for privileged users in each domain that don't have a strong password policy enforced, according to ANSSI framework. It checks both FGPP (Fine-Grained Password Policy) and the password policy applied to the domain. A strong password as defined by ANSSI is at least 8 characters long and updated no later than every 3 years.","Weak passwords are easier to crack via brute-force attacks, they can provide attackers opportunities for moving laterally or escalating privileges. The risk is even higher for privileged accounts, for when easily compromised, they improve the attacker's chance to quickly advance within the network.","Found 23 privileged users who do not comply with strong password policies.","23","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000096)","Apply appropriate password policies for privileged users.<br><br>MITRE D3fend based on the reference: <a href='https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-63-3.pdf'>NIST.SP.800-63-3</a>"
"SI000020","Protected Users group not in use","1.124.1","AD","IOE Found","00:00:20:08","83","Informational","1","Account Security","Credential Access","","","","vuln3_protected_users","","","","","This indicator checks if privileged users are in the Protected Users security group.","The Protected Users security group was introduced in Server 2012 R2 Active Directory to minimize credential exposure for privileged accounts. As a defense in depth measure privileged accounts, such as Domain Admins, should be added to the Protected Users security group.
Attackers targeting privileged accounts in Active Directory will find a much higher level of friction in certain types of attempts to compromise the accounts due to the protections offered.ReferencesProtected Users Security Group | Microsoft Learn","Found 17 privileged users that are not members of the Protected Users group.","17","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000020)","Ensure that all privileged users are members of the Protected Users group. If using a pre 2012-R2 schema, then the protected users group does not exist. This is an exposure, but the remediation is to upgrade the schema."
"SI000060","Recent sIDHistory changes on objects","1.124.1","AD","Pass","00:00:21:32","100","Warning","5","Account Security","Privilege Escalation","","","","vuln2_sidhistory_dangerous","","","","","This indicator checks for any recent changes to sIDHistory on objects.","Security Identifier (SID) history is used by Active Directory to maintain access rights during domain migrations.
An attacker can abuse SID history by injecting a privileged SID into the sIDHistory of another user object, allowing the user to act with the same privileges. Writing to the sIDHistory does require privileges in Active Directory, so it is likely that Active Directory is already compromised; this method is primarily used by an attacker for gaining persistence.ResourcesHow to Defend Against SID History Injection | Semperis Guides","No evidence of exposure.","0","","None"
"SI000351","Shadow Credentials on privileged objects","1.124.1","AD","IOE Found","00:00:27:25","15","Warning","6","Account Security","Credential Access","Lateral Movement","","","","","","Harden - User Account Permissions","","This indicator looks for users with write access to the msDS-KeyCredentialLink attribute of privileged users and DCs.","Attackers who can write to these privileged objects and Kerberos PKINIT is enabled will be able to elevate privileges to them.","Found 7 privileged objects that can have their msDS-KeyCredentialLink written to.","7","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000351)","Make sure these users should have this write access and that it is necessary, if it's not remove them."
"SI000068","Trust accounts with old passwords","1.124.1","AD","Pass","00:00:28:06","100","Informational","3","Account Security","Initial Access","","","","vuln2_trusts_accounts","","","Harden - Strong Password Policy","","This indicator looks for trust accounts whose password has not changed within the last year. This could mean that a trust relationship was removed but its corresponding trust account wasn't cleaned up.","Trust accounts facilitate authentication across trusts. As such they should be protected just like privileged user accounts. Normally trust account passwords are rotated automatically so a trust account without a recent password change could indicate an orphaned trust account.","No evidence of exposure.","0","","None"
"SI000024","Unprivileged principals as DNS Admins","1.124.1","AD","IOE Found","00:00:29:02","0","Warning","7","Account Security","Execution","Privilege Escalation","","","vuln1_permissions_msdns","vuln1_dnsadmins","","","","This indicator looks for any member of the DnsAdmins group that is not a privileged user. DnsAdmins itself is not considered a privileged group and is not protected by the AdminSDHolder SDProp mechanism. However as some research has shown, a member of this group can remotely load a DLL onto a domain controller running DNS and execute code as SYSTEM.","Administration of DNS is often delegated to non-AD administrators (i.e., administrators with job responsibilities in networking, DNS, DHCP, etc.). These administration accounts may not have the same security controls as the AD administrator accounts, making them prime targets for compromise. For more information on how DNS admins can abuse privileges see this blog post.","Found 12 objects which are not privileged but are members of the DNS Admins group.","12","Security_Assessment_Report_5_30_2025_11_24_02_PM_(SI000024)","Remove unprivileged principals that are a member of the DNS Admins group."
"SI000075","User accounts that use DES encryption","1.124.1","AD","Pass","00:00:28:46","100","Informational","4","Account Security","Credential Access","","","","vuln2_kerberos_properties_deskey","","","","","This indicator identifies user accounts with the 'Use Kerberos DES encryption types for this account' flag set. DES is an older cipher with a 56-bit key length that is relatively easy to crack. The only legitimate use for this flag is to support older systems and environments that only support DES.","Attackers can easily crack DES passwords using widely available tools, making these accounts ripe for takeover.","No evidence of exposure.","0","","None"
"SI000029","Users with Password Never Expires flag set","1.124.1","AD","Pass","00:00:28:54","100","Informational","1","Account Security","Credential Access","","","","vuln2_dont_expire","","","Harden - Strong Password Policy","","This indicator identifies user accounts where the Password Never Expires flag is set. These accounts can be targets for brute force password attacks, given that their passwords may not be strong when they were set. These accounts also tend to be service accounts with privileged access to applications and services, including Kerberos-based services.","Passwords that never expire may be weak and easier to crack. These credentials can provide attackers opportunities for moving laterally or escalating privileges.","No evidence of exposure.","0","","None"
"SI000067","Privileged accounts with a password that never expires","1.124.1","AD","Pass","00:00:28:64","100","Warning","6","Account Security","Credential Access","Privilege Escalation","","","vuln1_dont_expire_priv","","","Harden - Strong Password Policy","","This indicator identifies privileged accounts (adminCount attribute set to 1) where the Password Never Expires flag is set.","User accounts whose passwords never expire are ripe targets for brute force password guessing. If these users are also administrative or privileged accounts, this makes them even more of a target.","No evidence of exposure.","0","","None"
"SI000074","User accounts with password not required","1.124.1","AD","Pass","00:00:28:54","100","Warning","6","Account Security","Lateral Movement","","","","","","","Harden - Strong Password Policy","","This indicator identifies user accounts where a password is not required.","Accounts with weak access controls are often targeted by attackers seeking to move laterally or gain a persistent foothold within the environment.","No evidence of exposure.","0","","None"
